type,key,shortname
character,Pa2,
character,Pb2,
character,Pc2,
character,Pd2,
character,Pe2,
character,Pf2,
character,Pg2,
character,Ph2,
character,Nb1,
character,Ng1,
character,Bc1,
character,Bf1,
character,Ra1,
character,Rh1,
character,Qd1,
character,Ke1,
square,a1,
square,a2,
square,b1,
square,b2,
castling,O-O,
castling,O-O-O,
action,capture,x
action,check,+
action,checkmate,#
